overall_status,Total_Studies,Studies_with_Pubs,Zero-Pub_studies,One-Pub_Studies,two-Pub_Studies,Three-Plus-Pub_Studies,Studies_with_protocol,Studies_with_only_protocol,Zero_Updates_Zero_pubs
"Active, not recruiting",439,79,360,50,10,19,15,9,75
Completed,891,152,739,96,20,36,11,4,202
Enrolling by invitation,164,18,146,14,0,4,0,0,49
Recruiting,2456,270,2186,181,29,60,52,45,675
Terminated,66,13,53,9,2,2,4,2,1
Totals,4016,532,3484,350,61,121,82,60,1002
