overall_status,Total_Studies,Studies_with_Pubs,Zero-Pub_studies,One-Pub_Studies,two-Pub_Studies,Three-Plus-Pub_Studies,Studies_with_protocol,Studies_with_only_protocol,Zero_Updates_Zero_pubs
"Active, not recruiting",23,4,19,2,1,1,0,0,5
Completed,60,12,48,8,0,4,0,0,10
Enrolling by invitation,11,2,9,2,0,0,0,0,5
Recruiting,189,24,165,11,4,9,0,0,66
Totals,283,42,241,23,5,14,0,0,86
