overall_status,Total_Studies,Studies_with_Pubs,Zero-Pub_studies,One-Pub_Studies,two-Pub_Studies,Three-Plus-Pub_Studies,Studies_with_protocol,Studies_with_only_protocol,Zero_Updates_Zero_pubs
"Active, not recruiting",130,14,116,8,1,5,0,0,46
Completed,380,48,332,27,4,17,0,0,119
Enrolling by invitation,74,7,67,6,0,1,0,0,24
Recruiting,829,69,760,51,3,15,1,1,297
Totals,1413,138,1275,92,8,38,1,1,486
