Site_count,Study_Count
1,735
2,51
3,30
4,11
5,11
6,8
7,6
8,5
9,6
11,3
12,4
13,1
14,5
15,1
16,1
17,3
19,1
20,2
22,2
23,2
34,1
40,1
41,1
58,1
59,1
68,1
81,1
97,1
128,1
742,1
