Site_count,Study_Count
1,86
2,13
3,7
4,11
5,5
6,5
7,3
8,5
9,2
10,1
11,2
12,2
14,1
15,2
16,2
17,4
18,1
20,3
21,1
22,1
23,2
25,2
33,1
34,1
44,1
60,1
74,1
100,1
117,1
122,1
159,1
